name,expression_system,purity,endotoxin_level,sizes,prices,applications
Recombinant human TNF alpha protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,10 µg,US$ 180.00,"SDS-PAGE, FuncS, MS, sELISA, Cell Culture, HPLC"
Recombinant human IL-1 beta protein (Active),HEK 293 cells,>95% SDS-PAGE,<= 0.005 EU/µg,10 µg,US$ 450.00,"sELISA, SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Streptavidin (HRP),Native,>95% SDS-PAGE,N/A,500 µg,US$ 180.00,"Dot, IM, ICC, ELISA, IHC-P, IHC-Fr, WB"
Recombinant human IL-6 protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,10 µg,US$ 430.00,"SDS-PAGE, FuncS, MS, HPLC, sELISA, Cell Culture"
Recombinant human IL-15 protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,10 µg,US$ 340.00,"sELISA, SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Recombinant mouse TNF alpha protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,10 µg,US$ 245.00,"sELISA, SDS-PAGE, FuncS, MS, Cell Culture, HPLC"
Recombinant Human Interferon gamma protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,10 µg,US$ 285.00,"SDS-PAGE, FuncS, MS, Cell Culture, HPLC"
Recombinant Human Alpha-synuclein protein aggregate (Active),Escherichia coli,>95% SDS-PAGE,<= 20 EU/mL,N/A,N/A,"SDS-PAGE, FuncS, WB"
Recombinant human TNF alpha protein,Escherichia coli,>98% SDS-PAGE,< 1 EU/µg,10 µg,US$ 150.00,"SDS-PAGE, FuncS, HPLC, sELISA"
Recombinant human EGF protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,10 µg,US$ 180.00,"SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Recombinant human IGF1 protein (Active),HEK 293 cells,>=95% SDS-PAGE,< 0.005 EU/µg,50 µg,US$ 215.00,"SDS-PAGE, FuncS, MS, Cell Culture, HPLC"
Human IgE protein (Azide free),Native,>90% SDS-PAGE,< 25 EU/mg,100 µg,US$ 470.00,"IHC - Wmt, ELISA, WB, ICC, SDS-PAGE"
Recombinant human PD-L1 protein (Active),HEK 293 cells,>=95% SDS-PAGE,<= 0.005 EU/µg,50 µg,US$ 255.00,"SDS-PAGE, FuncS, MS, HPLC, sELISA"
Recombinant Human Osteopontin protein (Active),HEK 293 cells,>=95% SDS-PAGE,<= 0.005 EU/µg,10 µg,US$ 200.00,"SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Recombinant mouse Alpha-synuclein protein aggregate Type 1 (Active),Escherichia coli,>95% SDS-PAGE,< 5 EU/mL,N/A,N/A,"SDS-PAGE, FuncS, IHC-P, EM, ICC"
Recombinant human HGF protein (Active),HEK 293 cells,>=95% SDS-PAGE,<= 0.005 EU/µg,10 µg,US$ 230.00,"SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Recombinant human GDNF protein (Active),HEK 293 cells,>=95% SDS-PAGE,<= 0.005 EU/µg,10 µg,US$ 205.00,"SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Recombinant human SIRP alpha protein (Fc Chimera Active),HEK 293 cells,>95% SDS-PAGE,< 1 EU/µg,N/A,N/A,"SDS-PAGE, FuncS, ELISA, HPLC, Flow Cyt"
Recombinant human VEGF 165A protein (Active),HEK 293 cells,>=95% SDS-PAGE,<= 0.005 EU/µg,10 µg,US$ 265.00,"SDS-PAGE, FuncS, MS, HPLC, Cell Culture"
Recombinant mouse IL-1 beta protein (Active),HEK 293 cells,>=95% SDS-PAGE,<= 0.005 EU/µg,10 µg,US$ 450.00,"SDS-PAGE, FuncS, MS, HPLC, sELISA, Cell Culture"
